question,RMV,REM,RGLAD,RLFC,truth,AND,OR,hard
5d09e86444578a00e04191cc,2,2,2,2,2,2,2,0
5d09e86c44578a00e0426dc7,1,1,1,1,1,1,1,0
5d09e91a44578a00e047078f,1,1,1,1,1,1,1,0
5d09eba044578a00e053da69,3,3,3,3,4,3,3,0
5d09edc244578a00e05e3f55,1,1,1,1,1,1,1,0
5d09edc444578a00e05e5d2e,5,1,1,1,1,1,5,0
5d09ee9a44578a00e0655b0a,4,4,4,4,4,4,4,0
5d09efca44578a00e06c9cd4,4,4,4,4,4,4,4,0
5d09f0cc44578a00e0730eef,1,1,1,1,1,1,1,0
5d09f29844578a00e084cae1,1,4,3,4,1,0,7,0
5d09f29a44578a00e085050f,3,3,3,3,4,3,3,0
5d09f46e44578a00e08e5675,4,4,4,4,4,4,4,0
5d09f5cf44578a00e0933cf2,1,1,2,1,2,0,3,0
5d09f71d44578a00e09cf198,3,4,4,4,4,0,7,0
5d09f88444578a00e0a29740,2,2,2,2,1,2,2,0
5d09fb7044578a00e0b0959f,1,1,4,1,1,0,5,0
5d09fe7744578a00e0cab992,1,1,1,1,2,1,1,0
5d0a004344578a00e0da1481,1,1,1,1,1,1,1,0
5d0a004944578a00e0dab5e5,3,3,3,3,4,3,3,0
5d0a015f44578a00e0e70f1f,1,2,2,2,2,0,3,0
5d0a01a044578a00e0e9b489,1,1,1,1,1,1,1,0
5d0a01c644578a00e0eb426e,4,4,4,4,4,4,4,0
5d0a03ab44578a00e0fd2427,1,1,1,1,1,1,1,0
5d0a06e544578a00e0238b42,1,1,1,1,4,1,1,0
5d0a07e444578a00e030bcec,1,2,2,2,4,0,3,0
5d0a07e744578a00e0311319,1,1,1,1,1,1,1,0
5d0a07fa44578a00e032713a,4,4,4,4,4,4,4,0
5d0a08c844578a00e0427920,1,2,1,2,1,0,3,0
5d0a0aa144578a00e051256b,1,1,1,1,1,1,1,0
5d0a0b4d44578a00e05b1abd,1,1,1,1,1,1,1,0
5d0a0b7c44578a00e05d2dff,1,2,1,2,1,0,3,0
5d0a0c0144578a00e0662444,4,2,4,2,2,0,6,0
5d0a0c4044578a00e06a8f9f,4,4,4,4,4,4,4,0
5d0a0ca844578a00e06ea0a3,4,4,4,4,4,4,4,0
5d0a0d2144578a00e07a3f4a,1,2,1,2,2,0,3,0
5d0a0d6644578a00e080df66,1,1,1,1,1,1,1,0
5d0a0d9a44578a00e0864fff,4,4,4,4,4,4,4,0
5d0a0d9c44578a00e0869009,2,2,2,2,2,2,2,0
5d0a0dbf44578a00e08925fb,3,2,4,2,2,0,7,0
5d0a0e4e44578a00e08fc82f,4,4,4,4,3,4,4,0
5d0a0ea644578a00e091b770,1,1,1,1,1,1,1,0
5d0a0eb944578a00e09340eb,1,1,1,1,1,1,1,0
5d0a0ff044578a00e09704fd,4,4,4,4,4,4,4,0
5d0a106b44578a00e09a8994,3,4,3,4,3,0,7,0
5d0a12ce44578a00e0aa9f4d,4,2,4,2,4,0,6,0
5d0a12dd44578a00e0ab7921,1,3,1,3,4,1,3,0
5d0a142744578a00e0b67f93,4,4,4,4,4,4,4,0
5d0a145c44578a00e0b81d54,1,1,1,1,1,1,1,0
5d0a146044578a00e0b888e4,3,4,3,4,4,0,7,0
5d0a15b644578a00e0c490cb,4,4,4,4,1,4,4,0
5d0a15d544578a00e0c721ad,1,1,1,1,1,1,1,0
5d0a164c44578a00e0cc21f8,1,1,1,1,1,1,1,0
5d0a168d44578a00e0ccff0f,3,3,3,3,4,3,3,0
5d0a16b044578a00e0cfd6d9,1,1,1,1,1,1,1,0
5d0a16c844578a00e0d0a5a9,1,1,1,1,1,1,1,0
5d0a16e044578a00e0d304a3,3,3,3,3,1,3,3,0
5d0a173344578a00e0d4ea3b,4,4,4,4,4,4,4,0
5d0a183d44578a00e0d93140,3,3,3,3,4,3,3,0
5d0a189d44578a00e0da6beb,3,4,3,4,3,0,7,0
5d0a194e44578a00e0e258a0,4,4,4,4,4,4,4,0
5d0a1a5e44578a00e0ea77cb,4,4,4,4,4,4,4,0
5d0a1a8344578a00e0eb7439,4,2,4,2,2,0,6,0
5d0a1e1844578a00e00d7740,1,1,1,1,4,1,1,0
5d0a1eca44578a00e0193325,1,3,1,3,1,1,3,0
5d0a258944578a00e042c3b2,4,4,4,4,4,4,4,0
5d0a2a4844578a00e067eeec,1,1,1,1,1,1,1,0
5d0a2b0444578a00e06b9540,1,1,1,1,1,1,1,0
5d0a2b7f44578a00e06e69f7,3,3,3,3,3,3,3,0
5d0a2c9644578a00e0796a2d,3,4,3,4,4,0,7,0
5d0a2ca244578a00e079a17f,4,4,4,4,4,4,4,0
5d0a2cee44578a00e07b823e,4,4,4,4,4,4,4,0
5d0a2d8b44578a00e08212b2,4,1,4,1,1,0,5,0
5d0a2dde44578a00e08560d1,4,4,4,4,4,4,4,0
5d0a2f1e44578a00e092f256,1,1,1,1,1,1,1,0
5d0a2f2d44578a00e0946f6a,3,4,3,4,4,0,7,0
5d0a2f5844578a00e096d2b9,1,1,1,1,1,1,1,0
5d0a303744578a00e09f3660,1,1,1,1,1,1,1,0
5d0a30d644578a00e0a74b9d,1,1,1,1,1,1,1,0
5d0a312144578a00e0abfd9d,3,3,3,3,4,3,3,0
5d0a312244578a00e0ac2dc5,1,1,1,1,1,1,1,0
5d0a31ac44578a00e0aff540,3,3,3,3,1,3,3,0
5d0a31c844578a00e0b3043d,1,1,1,1,1,1,1,0
5d0a31dd44578a00e0b507bc,1,1,1,1,1,1,1,0
5d0a31fa44578a00e0b83453,3,3,3,3,4,3,3,0
5d0a326f44578a00e0bf3891,1,1,1,1,1,1,1,0
5d0a343e44578a00e0d03dbf,4,4,4,4,1,4,4,0
5d0a35f444578a00e0dde56f,3,3,3,3,3,3,3,0
5d0a360144578a00e0decd17,3,3,3,3,4,3,3,0
5d0a360344578a00e0df03fd,3,3,3,3,3,3,3,0
5d0a361944578a00e0e1a0e3,4,4,4,4,1,4,4,0
5d0a36ce44578a00e0e85065,1,1,1,1,1,1,1,0
5d0a385f44578a00e0f4da71,3,3,3,3,4,3,3,0
5d0a391944578a00e0f6fd17,3,4,3,4,4,0,7,0
5d0a3bd644578a00e00302a1,1,1,1,1,1,1,1,0
5d0a3e7d44578a00e01d2c35,1,2,2,2,2,0,3,0
5d0a3e7d44578a00e01d35fd,1,1,1,1,1,1,1,0
5d0a3ede44578a00e01f18e9,3,3,3,3,1,3,3,0
5d0a417a44578a00e034edaf,4,4,4,4,4,4,4,0
5d0a41cd44578a00e03dbc06,4,4,4,4,1,4,4,0
5d0a422544578a00e047406f,3,3,3,3,3,3,3,0
5d0a422a44578a00e047eb94,1,3,1,3,1,1,3,0
5d0a424144578a00e04adfd4,1,1,1,1,1,1,1,0
5d0a425f44578a00e04e7a44,2,2,2,2,4,2,2,0
5d0a427044578a00e050b117,4,4,4,4,4,4,4,0
5d0a427e44578a00e0523029,1,3,1,3,4,1,3,0
5d0a427f44578a00e0524d0c,1,3,1,3,4,1,3,0
5d0a437544578a00e05f7750,1,1,1,1,1,1,1,0
5d0a445c44578a00e06ce369,1,1,1,1,1,1,1,0
5d0a446b44578a00e06dd865,3,4,3,4,4,0,7,0
5d0a455944578a00e07d02f1,3,2,1,2,2,0,3,0
5d0a460344578a00e0863eea,2,2,2,2,2,2,2,0
5d0a463144578a00e087c4fc,2,5,1,5,1,0,7,0
5d0a468b44578a00e089f046,4,4,4,4,4,4,4,0
5d0a46ce44578a00e08e1af7,1,1,1,1,4,1,1,0
5d0a476a44578a00e09715d0,2,2,4,2,4,0,6,0
5d0a477a44578a00e09824b4,1,1,1,1,1,1,1,0
5d0d69f944578a0ea455379c,3,3,3,3,3,3,3,0
5d0d75d544578a0ea460c0ef,2,2,2,2,2,2,2,0
5d0d789844578a0ea47784fa,1,1,1,1,1,1,1,0
5d0d7e5844578a0ea4a2c95d,3,3,3,3,3,3,3,0
5d0d7f1944578a0ea4a5097f,1,1,1,1,1,1,1,0
5d0d81db44578a0ea4af7fc4,1,1,1,1,1,1,1,0
5d0d835644578a0ea4beeb8b,1,1,1,1,1,1,1,0
5d0d839a44578a0ea4c608b8,1,1,1,1,1,1,1,0
5d0d88b244578a0ea4d888d3,5,3,5,3,1,1,7,0
5d0d899744578a0ea4e6ae62,1,1,1,1,1,1,1,0
5d0d8a1d44578a0ea4efb626,1,1,1,1,1,1,1,0
5d0d8a2244578a0ea4f06d61,3,4,3,4,4,0,7,0
5d0d8a2644578a0ea4f0f935,3,3,3,3,3,3,3,0
5d0d8aee44578a0ea4ffa729,3,4,3,4,4,0,7,0
5d0d8bf444578a0ea40a65b7,1,4,4,4,4,0,5,0
5d0d8c6d44578a0ea412b081,4,4,4,4,4,4,4,0
5d0d8c9e44578a0ea413d4ef,1,1,1,1,1,1,1,0
5d0d8cd144578a0ea417da6d,1,2,1,2,1,0,3,0
5d0d8d5544578a0ea4258d0a,3,3,3,3,4,3,3,0
5d0d8d7944578a0ea42742df,2,2,2,2,2,2,2,0
5d0d8da644578a0ea4298578,3,4,1,4,1,0,7,0
5d0d8ea644578a0ea436a23d,2,2,2,2,2,2,2,0
5d0d8f6644578a0ea44b3d84,1,1,1,1,1,1,1,0
5d0d8f8844578a0ea44fb1c5,4,4,4,4,4,4,4,0
5d0d8ff144578a0ea45bb56f,3,3,3,3,4,3,3,0
5d0d907644578a0ea468b557,3,3,3,3,3,3,3,0
5d0d90f844578a0ea475926d,1,1,1,1,1,1,1,0
5d0d916544578a0ea4806cc1,1,1,1,1,1,1,1,0
5d0d921e44578a0ea494556d,1,1,1,1,1,1,1,0
5d0d922544578a0ea4955fb5,1,1,1,1,1,1,1,0
5d0d929d44578a0ea4a0387f,5,5,1,5,1,1,5,0
5d0d937144578a0ea4b5b75d,2,2,2,2,1,2,2,0
5d0d938c44578a0ea4b8f2f0,2,2,2,2,2,2,2,0
5d0d941f44578a0ea4c775d5,2,4,3,4,2,0,7,0
5d0d942544578a0ea4c8685a,4,4,4,4,4,4,4,0
5d0d94ec44578a0ea4d5371e,3,3,3,3,4,3,3,0
5d0d957244578a0ea4db5997,1,4,1,4,4,0,5,0
5d0d95c944578a0ea4dc504d,2,4,3,4,4,0,7,0
5d0d968c44578a0ea4e2a08a,2,2,2,2,3,2,2,0
5d0d96b544578a0ea4e6c4a0,4,4,4,4,4,4,4,0
5d0d982344578a0ea40846f9,4,4,4,4,4,4,4,0
5d0d987444578a0ea40e89df,1,2,1,2,2,0,3,0
5d0d988544578a0ea4106a86,4,4,4,4,4,4,4,0
5d0d988d44578a0ea41155d0,4,4,4,4,1,4,4,0
5d0d989044578a0ea411b4ee,4,4,4,4,4,4,4,0
5d0d989044578a0ea411c4a7,4,4,4,4,4,4,4,0
5d0d991944578a0ea422be48,1,1,1,1,1,1,1,0
5d0d991d44578a0ea4234555,2,4,2,4,4,0,6,0
5d0d9a1844578a0ea42dad3c,4,4,4,4,4,4,4,0
5d0d9a2d44578a0ea42f5642,1,1,1,1,2,1,1,0
5d0d9a3244578a0ea42f9ef5,1,2,1,2,1,0,3,0
5d0d9a7044578a0ea435f9ea,3,3,3,3,4,3,3,0
5d0d9ad044578a0ea43e5045,1,1,1,1,1,1,1,0
5d0d9ada44578a0ea43fa8a3,1,3,4,3,4,0,7,0
5d0d9b8844578a0ea4541c7f,4,4,4,4,4,4,4,0
5d0d9b9a44578a0ea4568201,1,1,1,1,1,1,1,0
5d0d9bc644578a0ea45c4fd7,4,4,4,4,4,4,4,0
5d0d9eb944578a0ea46c8dbf,1,1,1,1,5,1,1,0
5d0da03e44578a0ea47f136e,1,1,1,1,1,1,1,0
5d0da0bf44578a0ea4810ffd,1,1,1,1,1,1,1,0
5d0da20f44578a0ea48a5971,1,1,1,1,1,1,1,0
5d0da45144578a0ea49fb98e,3,3,3,3,4,3,3,0
5d0da51244578a0ea4a6c396,2,4,2,4,4,0,6,0
5d0da5cc44578a0ea4b01304,4,4,4,4,1,4,4,0
5d0da65044578a0ea4b8ae89,1,1,1,1,1,1,1,0
5d0da7de44578a0ea4d52669,3,3,3,3,3,3,3,0
5d0da86844578a0ea4db31cd,2,2,2,2,2,2,2,0
5d0da87644578a0ea4dc2f97,1,2,1,2,4,0,3,0
5d0da9d844578a0ea4f405e4,2,2,2,2,2,2,2,0
5d0dab7744578a0ea400440a,1,2,1,2,1,0,3,0
5d0dab9944578a0ea402d59c,1,1,1,1,1,1,1,0
5d0dabc044578a0ea405c0f5,3,3,3,3,4,3,3,0
5d0dac7144578a0ea40efd10,4,4,4,4,3,4,4,0
5d0daead44578a0ea4285236,1,1,1,1,2,1,1,0
5d0daf0044578a0ea42e4689,1,1,1,1,1,1,1,0
5d0daf0244578a0ea42e7930,2,2,2,2,2,2,2,0
5d0daf3b44578a0ea4330381,1,2,4,2,2,0,7,0
5d0daf5344578a0ea434d574,1,1,1,1,1,1,1,0
5d0daf6a44578a0ea436cb2e,4,2,2,2,2,0,6,0
5d0db03544578a0ea441bb84,1,1,1,1,1,1,1,0
5d0db06d44578a0ea446892b,1,1,1,1,1,1,1,0
5d0db12344578a0ea456d537,1,1,1,1,1,1,1,0
5d0db14944578a0ea45a453e,3,3,3,3,1,3,3,0
5d0db1b444578a0ea46326d0,4,4,4,4,4,4,4,0
5d0db1c144578a0ea4641e72,4,4,4,4,4,4,4,0
5d0db20144578a0ea469b16b,1,2,4,2,4,0,7,0
5d0db25c44578a0ea471065d,3,3,3,3,4,3,3,0
5d0db25c44578a0ea471125e,2,2,2,2,2,2,2,0
5d0db26e44578a0ea4728c8e,1,1,1,1,1,1,1,0
5d0db2fc44578a0ea47d7bdb,1,1,1,1,1,1,1,0
5d0db38844578a0ea4889a26,2,4,4,4,2,0,6,0
5d0db3a344578a0ea48aa966,3,3,3,3,3,3,3,0
5d0db46544578a0ea4969875,1,1,1,1,1,1,1,0
5d0db47144578a0ea496f5c3,1,1,1,1,1,1,1,0
5d0db47a44578a0ea4979daa,1,1,1,1,1,1,1,0
5d0db49444578a0ea4982add,1,1,1,1,1,1,1,0
5d0db4c144578a0ea49b86e0,1,1,1,1,4,1,1,0
5d0db4c144578a0ea49b8a65,1,1,1,1,4,1,1,0
5d0db4dc44578a0ea49daf9e,1,1,1,1,1,1,1,0
5d0db55144578a0ea4a6cbfc,4,4,4,4,4,4,4,0
5d0db56e44578a0ea4a90365,3,4,1,4,1,0,7,0
5d0db66c44578a0ea4bd176b,4,1,1,1,4,0,5,0
5d0db6ad44578a0ea4c2e80a,1,1,1,1,1,1,1,0
5d0db74b44578a0ea4c83bf2,2,2,2,2,1,2,2,0
5d0db85544578a0ea4d83576,4,3,4,3,4,0,7,0
5d0db96544578a0ea4e676bc,1,1,1,1,1,1,1,0
5d0dba1644578a0ea4f3490b,2,2,2,2,1,2,2,0
5d0dba6344578a0ea4f67f58,1,1,1,1,1,1,1,0
5d0dbb4344578a0ea4fb4a9c,1,1,1,1,1,1,1,0
5d0dbb6944578a0ea4fd65d9,1,4,2,4,2,0,7,0
5d0dbcbd44578a0ea4138eb2,1,1,1,1,1,1,1,0
5d0dbcfa44578a0ea418521e,3,3,3,3,4,3,3,0
5d0dbd1844578a0ea41a9034,2,5,2,5,2,0,7,0
5d0dbd2a44578a0ea41c0132,1,4,4,4,4,0,5,0
5d0dbe5944578a0ea424654d,1,3,1,3,4,1,3,0
5d0dbefa44578a0ea4350006,3,4,3,4,4,0,7,0
5d0dbf0044578a0ea435c5b6,3,3,3,3,4,3,3,0
5d0dbf1244578a0ea437e09a,4,4,4,4,4,4,4,0
5d0dbf9844578a0ea4440ee0,4,4,4,4,4,4,4,0
5d0dbfac44578a0ea446367e,4,4,4,4,4,4,4,0
5d0dc03244578a0ea4565e5c,4,4,4,4,1,4,4,0
5d0dc05144578a0ea45a76de,2,2,2,2,1,2,2,0
5d0dc15e44578a0ea473b058,4,4,4,4,2,4,4,0
5d0dc17744578a0ea476b461,1,1,1,1,1,1,1,0
5d0dc24944578a0ea47e1db1,3,3,3,3,3,3,3,0
5d0dc2d244578a0ea489dec1,1,1,1,1,1,1,1,0
5d0dc32c44578a0ea493cf57,2,2,2,2,4,2,2,0
5d0dc34644578a0ea496eec4,1,1,1,1,1,1,1,0
5d0dc38944578a0ea49d6e93,1,1,1,1,1,1,1,0
5d0dc38e44578a0ea49db490,1,1,1,1,1,1,1,0
5d0dc3c644578a0ea4a3958e,1,1,1,1,4,1,1,0
5d0dc41844578a0ea4a95a26,2,2,2,2,1,2,2,0
5d0dc4cb44578a0ea4b81f9e,1,2,2,2,1,0,3,0
5d0dc4e644578a0ea4ba9e37,1,1,1,1,1,1,1,0
5d0dc5b844578a0ea4d09eac,3,3,3,3,4,3,3,0
5d0dc5c544578a0ea4d1147e,2,2,2,2,2,2,2,0
5d0dc5c844578a0ea4d17b52,3,3,3,3,3,3,3,0
5d0dc5f944578a0ea4d74af9,1,1,1,1,1,1,1,0
5d0dc68e44578a0ea4e53e13,4,4,2,4,2,0,6,0
5d0dc6c644578a0ea4eb16af,2,2,2,2,2,2,2,0
5d0dc6eb44578a0ea4eee127,3,3,3,3,4,3,3,0
5d0dc70744578a0ea4f0cd25,1,1,1,1,1,1,1,0
5d0dc7b944578a0ea4f3d307,1,1,1,1,1,1,1,0
5d0dc7df44578a0ea4f71f0f,3,3,3,3,4,3,3,0
5d0dc80b44578a0ea4fc6b68,2,2,2,2,2,2,2,0
5d0dc83344578a0ea400a378,1,1,1,1,4,1,1,0
5d0dc87844578a0ea408cead,4,4,4,4,4,4,4,0
5d0dc8b944578a0ea410d469,4,4,4,4,4,4,4,0
5d0dc8ce44578a0ea412d1af,1,4,1,4,1,0,5,0
5d0dc8d644578a0ea413aee4,1,4,1,4,1,0,5,0
5d0dc97244578a0ea4265f25,2,2,2,2,1,2,2,0
5d0dc9dd44578a0ea43025bb,1,1,1,1,1,1,1,0
5d0dc9f144578a0ea4321de6,2,2,2,2,1,2,2,0
5d0dca3244578a0ea4392be3,3,3,3,3,4,3,3,0
5d0dca7244578a0ea43edfce,1,1,1,1,1,1,1,0
5d0dcac044578a0ea446c605,4,4,4,4,4,4,4,0
5d0dcb6644578a0ea45209ae,1,1,1,1,1,1,1,0
5d0dcb8644578a0ea454ae24,3,3,3,3,3,3,3,0
5d0dcdda44578a0ea4837112,3,3,3,3,4,3,3,0
5d0dcec044578a0ea48e4047,2,2,2,2,3,2,2,0
5d0dcf4244578a0ea49575f6,3,3,1,3,3,1,3,0
5d0dcf8944578a0ea49e0940,1,1,1,1,1,1,1,0
5d0dcf9544578a0ea49f29a7,3,3,3,3,3,3,3,0
5d0dcfb544578a0ea4a231e5,1,1,1,1,1,1,1,0
5d0dd03844578a0ea4ae3aa3,1,1,1,1,1,1,1,0
5d0dd0a144578a0ea4b9307a,4,4,3,4,4,0,7,0
5d0dd0c544578a0ea4bdf5d6,2,2,2,2,2,2,2,0
5d0dd0ce44578a0ea4bf4c39,4,4,4,4,4,4,4,0
5d0dd1ba44578a0ea4de41b9,1,4,1,4,1,0,5,0
5d0dd1e744578a0ea4e2a66b,1,1,1,1,2,1,1,0
5d0dd22544578a0ea4e81e09,3,3,3,3,3,3,3,0
5d0dd29c44578a0ea4f4fcd7,1,2,1,2,1,0,3,0
5d0dd2df44578a0ea4fddde7,3,2,3,2,2,2,3,0
5d0dd2e244578a0ea4fe55fd,1,1,1,1,1,1,1,0
5d0dd30144578a0ea40294dc,1,1,1,1,1,1,1,0
5d0dd30d44578a0ea4040faa,4,4,4,4,4,4,4,0
5d0dd44b44578a0ea42af383,3,3,3,3,4,3,3,0
5d0dd44c44578a0ea42b1189,1,1,1,1,1,1,1,0
5d0dd46a44578a0ea42f5b28,4,4,4,4,4,4,4,0
5d0dd4c444578a0ea438aac1,3,3,3,3,3,3,3,0
5d0dd4e844578a0ea43be000,3,3,3,3,3,3,3,0
5d0dd50144578a0ea43f37dc,1,1,1,1,1,1,1,0
5d0dd50244578a0ea43f435e,1,2,1,2,2,0,3,0
5d0dd53844578a0ea4463dce,3,3,3,3,3,3,3,0
5d0dd55644578a0ea448d9e0,2,2,2,2,2,2,2,0
5d0dd58b44578a0ea44dcf26,1,1,1,1,1,1,1,0
5d0dd5aa44578a0ea450496c,3,3,3,3,3,3,3,0
5d0dd61444578a0ea45c222d,2,2,2,2,2,2,2,0
5d0dd65a44578a0ea465bd6c,1,1,1,1,1,1,1,0
5d0dd68344578a0ea469c542,1,1,1,1,1,1,1,0
5d0dd69644578a0ea46c7825,1,1,1,1,1,1,1,0
5d0dd72d44578a0ea47bad9f,2,4,2,4,2,0,6,0
5d0dd74f44578a0ea4806eda,2,5,2,5,2,0,7,0
5d0dd7ef44578a0ea48d7c87,4,4,4,4,4,4,4,0
5d0dd8c444578a0ea49ea9a5,1,1,1,1,1,1,1,0
5d0dd8e144578a0ea4a28ff5,3,3,3,3,3,3,3,0
5d0dd8f544578a0ea4a381e7,2,2,2,2,1,2,2,0
5d0dd95344578a0ea4ae2ffb,4,2,2,2,2,0,6,0
5d0dd95b44578a0ea4af2215,1,1,1,1,1,1,1,0
5d0dd98144578a0ea4b3b987,1,1,1,1,1,1,1,0
5d0dd9da44578a0ea4bfecc2,3,3,3,3,4,3,3,0
5d0dd9e044578a0ea4c0d344,2,5,2,5,2,0,7,0
5d0dda0444578a0ea4c3fdeb,1,3,1,3,1,1,3,0
5d0dda3e44578a0ea4c85806,1,5,1,5,1,1,5,0
5d0ddaa044578a0ea4d4c463,1,1,1,1,2,1,1,0
5d0ddab044578a0ea4d6fa92,4,4,4,4,4,4,4,0
5d0ddb8844578a0ea4e215f0,1,1,1,1,1,1,1,0
5d0ddbac44578a0ea4e5fcba,2,2,2,2,2,2,2,0
5d0ddbd744578a0ea4eb9a9f,4,4,4,4,4,4,4,0
5d0ddcdb44578a0ea40056f4,1,1,1,1,2,1,1,0
5d0ddd3944578a0ea40ccc8c,4,4,4,4,4,4,4,0
5d0ddd4144578a0ea40de74f,1,1,1,1,1,1,1,0
5d0ddded44578a0ea423d75a,4,4,4,4,4,4,4,0
5d0dde1844578a0ea42a0a31,3,3,3,3,3,3,3,0
5d0dde5c44578a0ea42ff139,1,1,1,1,1,1,1,0
5d0ddee444578a0ea43fa710,3,4,3,4,4,0,7,0
5d0ddfc244578a0ea44af402,1,1,1,1,1,1,1,0
5d0ddfee44578a0ea44d71af,4,4,4,4,4,4,4,0
5d0de07f44578a0ea451892a,2,2,2,2,2,2,2,0
5d0de4ca44578a0ea472b3b4,3,4,3,4,4,0,7,0
5d0de4ea44578a0ea475d168,1,1,1,1,1,1,1,0
5d0de52e44578a0ea47e03ac,4,4,4,4,4,4,4,0
5d0de64e44578a0ea4885a5c,1,1,1,1,1,1,1,0
5d0de6d244578a0ea490175a,1,1,1,1,1,1,1,0
5d0de6f244578a0ea492fb67,1,1,1,1,4,1,1,0
5d0de7a344578a0ea49a7dfd,1,2,2,2,4,0,3,0
5d0de7c744578a0ea49e80a8,3,3,3,3,3,3,3,0
5d0de7f544578a0ea4a49761,3,5,3,5,3,1,7,0
5d0de81544578a0ea4a8758c,1,1,1,1,1,1,1,0
5d0de81544578a0ea4a87e6f,2,2,2,2,2,2,2,0
5d0de84444578a0ea4ad13a9,3,5,3,5,3,1,7,0
5d0de8a944578a0ea4b434e5,3,4,4,4,4,0,7,0
5d0deaab44578a0ea4d2a030,5,1,5,1,1,1,5,0
5d0deb5844578a0ea4d8c480,4,4,4,4,4,4,4,0
5d0debd144578a0ea4e78640,4,4,4,4,4,4,4,0
5d0debd444578a0ea4e7eefe,2,4,3,4,2,0,7,0
5d0debf144578a0ea4ea75c3,4,4,4,4,4,4,4,0
5d0dec2244578a0ea4f09ffa,1,1,1,1,1,1,1,0
5d0dec9d44578a0ea400faa4,1,1,1,1,1,1,1,0
5d0decea44578a0ea40993a2,4,4,4,4,4,4,4,0
5d0decfe44578a0ea40c3f8b,2,4,2,4,4,0,6,0
5d0ded4a44578a0ea416a274,3,4,3,4,3,0,7,0
5d0ded5e44578a0ea41956fe,3,3,4,3,4,0,7,0
5d0dedc844578a0ea422f4a4,2,2,2,2,2,2,2,0
5d0dede344578a0ea4263560,4,4,4,4,4,4,4,0
5d0deeb844578a0ea43a6b23,1,1,1,1,1,1,1,0
5d0deee844578a0ea43ee7ae,2,2,2,2,4,2,2,0
5d0deeff44578a0ea441a499,2,2,2,2,2,2,2,0
5d0def3a44578a0ea44927f6,1,1,1,1,1,1,1,0
5d0df00544578a0ea45ff547,1,1,1,1,1,1,1,0
5d0df04d44578a0ea4694ef6,1,1,1,1,1,1,1,0
5d0df08444578a0ea4708509,3,3,3,3,4,3,3,0
5d0df0ea44578a0ea47db415,3,3,3,3,1,3,3,0
5d0df0fd44578a0ea4805f90,1,1,1,1,1,1,1,0
5d0df18844578a0ea4934b34,2,2,2,2,4,2,2,0
5d0df19c44578a0ea49621ad,1,1,1,1,1,1,1,0
5d0df20e44578a0ea4990e12,1,1,1,1,1,1,1,0
5d0df22344578a0ea499b481,4,4,4,4,4,4,4,0
5d0df22c44578a0ea49abfef,1,2,1,2,1,0,3,0
5d0df2f544578a0ea4a789cf,2,2,2,2,2,2,2,0
5d0df36544578a0ea4aa2555,1,1,1,1,1,1,1,0
5d0df43644578a0ea4b67360,1,2,1,2,1,0,3,0
5d0df44344578a0ea4b7cdc5,1,1,1,1,1,1,1,0
5d0df4b444578a0ea4c6d654,1,1,1,1,1,1,1,0
5d0df54c44578a0ea4d5cc4c,1,1,1,1,4,1,1,0
5d0df54d44578a0ea4d5e2a9,4,4,4,4,4,4,4,0
5d0df5ae44578a0ea4de9d89,1,1,1,1,1,1,1,0
5d0df5c044578a0ea4e0d61b,4,3,4,3,4,0,7,0
5d0df60744578a0ea4eaad6f,2,2,2,2,1,2,2,0
5d0df60b44578a0ea4eb2be4,1,1,1,1,1,1,1,0
5d0df61b44578a0ea4ed64f3,1,1,1,1,1,1,1,0
5d0df62e44578a0ea4efa7bd,1,1,1,1,1,1,1,0
5d0df63144578a0ea4eff6f6,4,4,4,4,4,4,4,0
5d0df63344578a0ea4f0602e,4,4,4,4,4,4,4,0
5d0df66e44578a0ea4f8088b,1,1,1,1,1,1,1,0
5d0df69f44578a0ea4fe7c19,1,1,1,1,1,1,1,0
5d0df6a044578a0ea4feb570,1,1,1,1,1,1,1,0
5d0df6a544578a0ea4ff3b8d,3,3,3,3,4,3,3,0
5d0df6f444578a0ea40a080f,1,1,1,1,1,1,1,0
5d0df74844578a0ea4150936,1,1,1,1,1,1,1,0
5d0df78f44578a0ea41e7620,1,1,1,1,4,1,1,0
5d0df79d44578a0ea41f9d81,1,3,1,3,1,1,3,0
5d0df7ae44578a0ea4221528,1,2,1,2,1,0,3,0
5d0df82744578a0ea430dc9b,1,5,1,5,1,1,5,0
5d0dfa1244578a0ea4562e78,1,1,1,1,1,1,1,0
5d0dfa3b44578a0ea45a287d,1,1,1,1,1,1,1,0
5d0dfa7044578a0ea45d145f,3,3,3,3,4,3,3,0
5d0dfad744578a0ea466b5f5,1,1,1,1,1,1,1,0
5d0dfae444578a0ea467fe6c,1,1,1,1,1,1,1,0
5d0dfbf344578a0ea475b714,2,2,2,2,1,2,2,0
5d0dfdc644578a0ea485de83,1,1,1,1,1,1,1,0
5d0dfddc44578a0ea487fdec,4,4,4,4,2,4,4,0
5d0dfe4144578a0ea490c3ed,4,4,4,4,4,4,4,0
5d0dff8844578a0ea49c40d8,3,3,3,3,1,3,3,0
5d0dffbc44578a0ea4a16a51,1,1,1,1,1,1,1,0
5d0ea00f44578a148050da34,1,2,1,2,1,0,3,0
5d0ea10844578a148057d3d0,2,4,2,4,4,0,6,0
5d0ea16c44578a14805ac67f,1,2,1,2,4,0,3,0
5d0ea20144578a14805f32f9,4,2,2,2,4,0,6,0
